color,text
Green,capricopian enters battlefield x plusandplus counter put plusandplus counter capricopian may reselect player capricopian attacking player capricopian attacking may activate ability declare attacker step attack controller
Red,redmana gain control target creature opponent control end turn untap creature gain haste end turn activate ability time could cast sorcery
White,flying cartographer hawk deal combat damage player control land return owner hand may search library plain card put onto battlefield tapped shuffle library
White,vigilance cataclysmic gearhulk enters battlefield player chooses artifact creature enchantment planeswalker among nonland permanent control sacrifice rest
White,flying whenever cavalry pegasus attack attacking human gain flying end turn
Green,partner ukkima stalking shadow creature enters battlefield target player may put ukkima hand library shuffle whenever creature control deal combat damage player put plusandplus counter creature
Red,plus create two red elemental creature token haste exile beginning next end step discard card hand draw many card plus one x chandra flamecaller deal x damage creature
White,destroy creature toughness greater
White,choose one destroy creature destroy artifact enchantment
Red,exile top x card library end next turn may play card
Green,additional cost cast spell sacrifice land search library land card put card onto battlefield shuffle library
Blue,whenever cycle card may crystalline resonance become copy another target permanent next turn except ha ability
Green,choose target opponent create x green beast creature token x number artifact player control
Black,haste daring fiendbonder attack combat able blackmana exile daring fiendbonder graveyard put indestructible counter target creature activate ability time could cast sorcery
Black,control commander may cast spell without paying mana cost exile target creature
White,flying long dearly departed graveyard human creature control enters battlefield additional plusandplus counter
Blue,opponent choose one target creature player control return creature owner hand unless controller ha draw card
Red,control commander may cast spell without paying mana cost may choose new target target spell ability
White,exile creature delirium create white angel creature token flying four card type among card graveyard
Red,desert fervent enters battlefield tapped tap add redmana cycling redmana redmana discard card draw card
Blue,desert mindful enters battlefield tapped tap add bluemana cycling bluemana bluemana discard card draw card
White,desert true enters battlefield tapped tap add whitemana cycling whitemana whitemana discard card draw card
White,opponent destroy one target artifact enchantment player control cycling whitemanawhitemana whitemanawhitemana discard card draw card cycle dismantling wave destroy artifact enchantment
Black,opponent chooses creature card graveyard put card onto battlefield control
Blue,flying eon frolicker enters battlefield cast target opponent take extra turn one next turn planeswalkers control gain protection player planeswalkers control targeted dealt damage enchanted anything controlled player
Red,whenever etali primal storm attack exile top card player library may cast number spell among card without paying mana cost
Blue,delve card exile graveyard casting spell pay flying whenever ethereal forager attack may return instant sorcery card exiled ethereal forager owner hand
Black,return two target creature card graveyard battlefield creature black zombie addition color type put ever bottom owner library
Green,choose one search library basic land card reveal put hand shuffle library return target creature card graveyard hand target creature gain flying end turn
Blue,control commander may cast spell without paying mana cost counter target noncreature spell
Red,haste whenever fireflux squad attack may exile another target attacking creature control reveal card top library reveal creature card put card onto battlefield tapped attacking rest bottom library random order
White,control commander may cast spell without paying mana cost creature control gain indestructible end turn
Blue,draw two card discard two card untap three land
Red,whenever one creature attack opponent planeswalker opponent control creature gain menace end turn
White,battalion whenever frontline medic least two creature attack creature control gain indestructible end turn sacrifice frontline medic counter target spell x mana cost unless controller pay
Green,cast spell reveal top x card library may put nonland permanent card converted mana cost x le among onto battlefield shuffle rest library genesis hydra enters battlefield x plusandplus counter
Green,whenever player cast spell turn player draw card
Red,menace goblin darkminusdwellers enters battlefield may cast target instant sorcery card converted mana cost le graveyard without paying mana cost card would put graveyard turn exile instead
Blue,partner pako arcane retriever creature enters battlefield target player may put pako hand library shuffle may play noncreature card exile fetch counter exiled may spend mana though mana color cast spell
White,flying herald forgotten enters battlefield cast return number target permanent card cycling ability graveyard battlefield
Green,hero bane enters battlefield four plusandplus counter greenmanagreenmana put x plusandplus counter hero bane x power
Green,flying deathtouch amount damage deal creature enough destroy hornet queen enters battlefield create four green insect creature token flying deathtouch
Green,hungering hydra enters battlefield x plusandplus counter hungering hydra blocked one creature whenever hungering hydra dealt damage put many plusandplus counter must survive damage get counter
Green,choose target creature control whenever creature deal combat damage player planeswalker turn draw many card
Green,create green beast creature token storm cast spell copy spell cast turn
Blue,plus next turn whenever creature opponent control attack get minusandminus end turn reveal top three card library opponent separate card two pile put one pile hand bottom library order player search player library nonland card exile player shuffle library may cast card without paying mana cost
Red,tap add redmanaredmana beginning player upkeep player may put doom counter lavabrink floodgate remove doom counter ha three doom counter sacrifice deal damage creature
Red,whenever player cycle card may pay lightning rift deal damage target
White,magus disk enters battlefield tapped tap destroy artifact creature enchantment
Green,majestic myriarch power toughness equal twice number creature control beginning combat majestic myriarch gain flying end turn control creature flying true first strike double strike deathtouch haste hexproof indestructible lifelink menace reach trample vigilance
White,enchant creature enchanted creature get plusandplus goaded attack combat able attack player able whenever enchanted creature attack creature attacking one opponent get plusandplus end turn
Blue,draw x card
Black,mutate blackmana cast spell mutate cost put target nonminushuman creature mutate creature top plus ability flying whenever creature mutates exile top card opponent library face may look play card long remain exiled
Red,molten echo enters battlefield choose creature type whenever nontoken creature chosen type enters battlefield control create token copy creature token gain haste exile beginning next end step
Blue,whenever cast instant sorcery spell create blue bird illusion creature token flying
Blue,whenever nascent metamorph attack block target opponent reveals card top library reveal creature card nascent metamorph becomes copy card end turn player put card revealed way bottom library random order
Black,tap put soul counter netherborn altar put commander hand command zone lose life soul counter netherborn altar
Blue,flying prowess whenever cast noncreature spell creature get plusandplus end turn whenever cast instant sorcery spell tap target creature opponent control creature untap controller next untap step
Black,partner yannik scavenging sentinel creature enters battlefield target player may put yannik hand library shuffle menace whenever another creature control leaf battlefield one counter draw card lose life
Blue,flash flying cycling bluemana bluemana discard card draw card cycle nimble obstructionist counter target activated triggered ability control
Green,control commander may cast spell without paying mana cost prevent damage would dealt turn creature opponent control
White,beginning combat creature control gain first strike end turn creature control ha first strike true flying deathtouch double strike haste hexproof indestructible lifelink menace reach skulk trample vigilance
White,first strike creature deal combat damage creature without first strike whenever odric master tactician least three creature attack choose creature block combat creature block
Black,enchant creature enchanted creature get plusandplus goaded attack combat able attack player able whenever enchanted creature attack controller loses life gain life
Green,indestructible whenever predator ooze attack put plusandplus counter whenever creature dealt damage predator ooze turn dy put plusandplus counter predator ooze
Green,enchant creature enchanted creature get plusandplus must blocked able goaded attack combat able attack player able
Blue,enchant creature enchanted creature get plusandplus goaded attack combat able attack player able whenever enchanted creature attack scry
Green,devour enters battlefield may sacrifice number creature creature enters battlefield three time many plusandplus counter ravenous gigantotherium enters battlefield deal x damage divided choose among x target creature x power creature deal damage equal power ravenous gigantotherium
Green,mutate greenmana cast spell mutate cost put target nonminushuman creature mutate creature top plus ability trample whenever creature mutates destroy target noncreature permanent controller creates green beast creature token
Green,reveal top seven card library choose among card flying card first strike double strike deathtouch haste hexproof indestructible lifelink menace reach trample vigilance put one chosen card onto battlefield chosen card hand rest graveyard
Red,whenever creature control attack get plusandplus end turn attacking creature share creature type
Red,enchant creature enchanted creature get plusandplus goaded attack combat able attack player able whenever enchanted creature attack create treasure token artifact tap sacrifice artifact add one mana color
Green,flash hexproof slippery bogbonder enters battlefield put hexproof counter target creature move number counter among creature control onto creature
Blue,soaring seacliff enters battlefield tapped soaring seacliff enters battlefield target creature gain flying end turn tap add bluemana
Black,delve card exile graveyard casting spell pay creature card flying wa exiled soulflayer delve ability soulflayer ha flying true first strike double strike deathtouch haste hexproof indestructible lifelink reach trample vigilance
Blue,mutate bluemana cast spell mutate cost put target nonminushuman creature mutate creature top plus ability flying whenever creature mutates gain control target noncreature artifact
Black,specie specialist enters battlefield choose creature type whenever creature chosen type dy may draw card
Red,flying spellpyre phoenix enters battlefield may return target instant sorcery card cycling ability graveyard hand beginning end step cycled two card turn return spellpyre phoenix graveyard hand
White,whenever player discard card may pay whitemana create white spirit creature token flying
Green,trample splinterfright power toughness equal number creature card graveyard beginning upkeep put top two card library graveyard
Green,multikicker may pay additional number time cast spell choose target creature choose another target creature time spell wa kicked put x plusandplus counter
Red,whenever discard creature card put plusandplus counter surly badgersaur whenever discard land card create treasure token artifact tap sacrifice artifact add one mana color whenever discard noncreature nonland card surly badgersaur fight one target creature control
Red,return instant card random graveyard hand rebound cast spell hand exile resolve beginning next upkeep may cast card exile without paying mana cost
Blue,whenever cast instant sorcery spell may copy spell may choose new target copy
Red,land card hand ha cycling redmana cycling discard card draw card
White,thalia lieutenant enters battlefield put plusandplus counter human control whenever another human enters battlefield control put plusandplus counter thalia lieutenant
White,tap create white human creature token fateful hour long le life creature control get plusandplus
Blue,player may cast spell though flash opponent cast spell turn
Black,beginning player end step creature died turn titan hunter deal damage player blackmana sacrifice creature gain life
Red,human creature control ha redmana tap creature deal damage target
White,partner silvar devourer free creature enters battlefield target player may put silvar hand library shuffle beginning end step attacked turn create white human soldier creature token
Green,vastwood hydra enters battlefield x plusandplus counter vastwood hydra dy may distribute number plusandplus counter equal number plusandplus counter vastwood hydra among number creature control
White,first strike may look top card library time long opponent control land may play land top library play land way available land play remaining
White,lifelink x whitemanawhitemana monstrosity x creature monstrous put x plusandplus counter becomes monstrous vitality hunter becomes monstrous put lifelink counter x target creature
Green,vigilance trample undying creature dy plusandplus counter return battlefield owner control plusandplus counter
Blue,opponent two creature enter battlefield control turn may pay bluemana rather pay spell mana cost return two target creature owner hand
Green,beginning end step untap land control
Black,whenever xathrid necromancer another human creature control dy create tapped black zombie creature token
Red,sacrifice land akki avalanchers get plusandplus end turn activate ability turn
Red,first strike redmana tap attacking creature gain first strike end turn
Red,protection red red source would deal damage player deal much damage plus player instead
Red,haste whenever akki lavarunner deal damage opponent flip
Red,akki rockspeaker enters battlefield add redmana
Red,whenever akki underminer deal combat damage player player sacrifice permanent
Black,ashenminusskin zubera dy target opponent discard card zubera died turn
Blue,enchant creature tap untapped creature control untap enchanted creature
Red,bushido whenever creature block becomes blocked get plusandplus end turn battleminusmad ronin attack combat able
Red,tap benminusben akki hermit deal damage target attacking creature equal number untapped mountain control
White,target creature control gain protection color choice end turn splice onto arcane whitemana cast arcane spell may reveal card hand pay splice cost add card effect spell
Red,untap target nonlegendary creature gain control end turn creature gain haste end turn
Black,beginning upkeep may sacrifice blood speaker search library demon card reveal card put hand shuffle library whenever demon enters battlefield control return blood speaker graveyard hand
Black,tap put devotion counter bloodthirsty ogre tap target creature get minusxandminusx end turn x number devotion counter bloodthirsty ogre activate ability control demon
Red,bushido whenever creature block becomes blocked get plusandplus end turn exactly two permanent named brother yamazaki battlefield legend rule apply creature named brother yamazaki get plusandplus ha haste
Red,look top card library reveal top card library land card brutal deceiver get plusandplus gain first strike end turn activate ability turn
Green,sacrifice burr grafter target creature get plusandplus end turn soulshift creature dy may return target spirit card converted mana cost le graveyard hand
White,double strike bushido whenever creature block becomes blocked get plusandplus end turn
White,creature dealt damage bushi tenderfoot turn dy flip bushi tenderfoot
White,untap creature control samurai creature control get plusandplus end turn
Blue,look top card library reveal top card library land card callous deceiver get plusandplus gain flying end turn activate ability turn
White,prevent next damage would dealt target turn gain life equal damage prevented way splice onto arcane whitemana cast arcane spell may reveal card hand pay splice cost add card effect spell
White,destroy enchantment
Blue,return target creature owner hand splice onto arcane bluemana cast arcane spell may reveal card hand pay splice cost add card effect spell
Black,choose nonland card name search target player graveyard hand library card name exile player shuffle library
Black,look top card library reveal top card library land card cruel deceiver gain whenever cruel deceiver deal damage creature destroy creature end turn activate ability turn
Red,crushing pain deal damage target creature wa dealt damage turn
Black,bushido whenever creature block becomes blocked get plusandplus end turn blackmana cursed ronin get plusandplus end turn
Blue,spirit return owner hand unless player pay
Blue,target player put top four card library graveyard splice onto arcane bluemana cast arcane spell may reveal card hand pay splice cost add card effect spell
Black,creature control get plusandplus gain fear end turn blocked except artifact creature andandor black creature
Black,deathcurse ogre dy player loses life
Red,add redmanaredmanaredmana splice onto arcane redmana cast arcane spell may reveal card hand pay splice cost add card effect spell
White,bushido whenever creature block becomes blocked get plusandplus end turn
Black,additional cost cast spell may sacrifice number spirit target player loses life plus life spirit sacrificed way gain much life
Red,additional cost cast spell may sacrifice number spirit target creature get plusandplus end turn spirit sacrificed way creature get additional plusandplus end turn
Green,player cast spell turn
Green,drippingminustongue zubera dy create colorless spirit creature token zubera died turn
Red,whenever cast spirit arcane spell earthshaker deal damage creature without flying
Blue,search library arcane card reveal card put hand shuffle library
White,tap add whitemana whitemana tap prevent next damage would dealt target legendary creature turn
White,whitemana target permanent control gain protection white end turn target spell permanent becomes white end turn
Red,emberminusfist zubera dy deal damage target equal number zubera died turn
White,prevent damage would dealt creature turn
Blue,return target permanent owner hand
Green,destroy target land land wa legendary controller sacrifice another land
Green,look top card library reveal top card library land card feral deceiver get plusandplus gain trample end turn activate ability turn
Blue,enchant creature enchanted creature blocked spirit bluemana return field reality owner hand
Blue,floatingminusdream zubera dy draw card zubera died turn
Red,creature dealt damage frostwielder turn would die exile instead tap frostwielder deal damage target
Green,gale force deal damage creature flying
Black,flying soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Blue,search library four card different name reveal target opponent chooses two card put chosen card graveyard rest hand shuffle library
Red,glacial ray deal damage target splice onto arcane redmana cast arcane spell may reveal card hand pay splice cost add card effect spell
Green,whenever cast creature spell turn draw card
Blue,maximum hand size
Blue,whenever cast spirit arcane spell target creature gain flying end turn
Black,trample beginning upkeep discard card control ogre
Green,greenmana sacrifice hana kami return target arcane card graveyard hand
Red,hanabi blast deal damage target return hanabi blast owner hand discard card random
White,look top card library reveal top card library land card untap harsh deceiver get plusandplus end turn activate ability turn
Black,flying sacrifice spirit target opponent reveals hand choose card player discard card activate ability time could cast sorcery soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Green,whenever player tap land mana player add one mana type land produced
Red,x sacrifice hearth kami destroy target artifact converted mana cost x
Black,creature get minusandminus end turn splice onto arcane blackmanablackmana cast arcane spell may reveal card hand pay splice cost add card effect spell
White,flying whenever cast spirit arcane spell may exile hikari twilight guardian return battlefield owner control beginning next end step
Blue,counter target spell spell countered way put card top bottom owner library instead player graveyard
Blue,counter target spirit arcane spell
Blue,may choose untap hisoka guard untap step bluemana tap target creature control hisoka guard ha shroud long hisoka guard remains tapped target spell ability
Blue,bluemana discard card counter target spell ha converted mana cost discarded card
White,blocking creature get plusandplus end turn
White,beginning upkeep gain life shrine control
Red,beginning upkeep honden infinite rage deal damage target equal number shrine control
Green,beginning upkeep create colorless spirit creature token shrine control
Black,beginning upkeep target opponent discard card shrine control
Blue,beginning upkeep draw card shrine control
White,whenever cast spirit arcane spell regenerate target creature
Black,flying whenever creature becomes target spell ability destroy creature
Green,shroud creature target spell ability
White,flying soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Black,iname death aspect enters battlefield may search library number spirit card put graveyard shuffle library
Green,iname life aspect dy may exile return number target spirit card graveyard hand
White,flash enchant creature enchanted creature get plusandplus
Red,tap goka unjust deal damage target creature wa dealt damage turn
Red,tap initiate blood deal damage target creature wa dealt damage turn creature dy turn flip initiate blood
White,whitemana tap tap target creature whenever cast spirit arcane spell untap innocence kami
Green,gain life land control
Green,flying jugan rising star dy may distribute five plusandplus counter among number target creature
Green,forestwalk creature blocked long defending player control forest
Blue,bluemanabluemana tap target player draw x card x number card hand
Blue,bluemana tap draw card nine card hand flip jushi apprentice
White,flying tap target creature get plusandplus end turn
White,sacrifice kami ancient law destroy target enchantment
Red,whenever cast spirit arcane spell target creature block turn
Black,flying soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Blue,sacrifice kami twisted reflection return target creature control owner hand
Green,whenever cast spirit arcane spell kami hunt get plusandplus end turn
White,whenever cast spirit arcane spell kami painted road gain protection color choice end turn
White,flying first strike soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Black,flying whenever cast spirit arcane spell target creature gain fear end turn blocked except artifact creature andandor black creature
Green,whenever kashiminustribe reaver deal combat damage creature tap creature untap controller next untap step greenmana regenerate kashiminustribe reaver
Green,whenever kashiminustribe warrior deal combat damage creature tap creature untap controller next untap step
Blue,flying keiga tide star dy gain control target creature
Red,haste tap create token copy target nonlegendary creature control except ha haste sacrifice beginning next end step
Black,blackmanablackmana tap target creature deal damage equal power
White,first strike bushido whenever creature block becomes blocked get plusandplus end turn
White,tap tap target spirit
White,tap prevent next damage would dealt target turn tap prevent damage would dealt target legendary creature turn
White,attach target aura attached creature another creature
White,beginning end step kitsune mystic enchanted two aura flip
White,protection spirit arcane
Green,trample shroud creature target spell ability
Green,whenever cast spirit arcane spell creature control get plusandplus gain trample end turn
Green,target creature get plusandplus end turn splice onto arcane greenmana cast arcane spell may reveal card hand pay splice cost add card effect spell
Black,flying kokusho evening star dy opponent loses life gain life equal life lost way
White,bushido whenever creature block becomes blocked get plusandplus end turn long control legendary samurai konda hatamoto get plusandplus ha vigilance attacking cause creature tap
White,vigilance indestructible bushido whenever creature block becomes blocked get plusandplus end turn
Red,creature dealt damage kumano pupil turn would die exile instead
Red,redmana kumano master yamabushi deal damage target creature dealt damage kumano turn would die exile instead
Black,beginning upkeep sacrifice kuro pitlord unless pay blackmanablackmanablackmanablackmana pay life target creature get minusandminus end turn
White,flying
Red,lava spike deal damage target player planeswalker
Blue,target creature gain flying end turn splice onto arcane bluemana cast arcane spell may reveal card hand pay splice cost add card effect spell
Red,sacrifice number land add much colorlessmana
Black,rat fear tap sacrifice rat create x black rat creature token x number rat control
White,flash tapped creature control block though untapped
Green,greenmana target creature block matsuminustribe decoy turn able whenever matsuminustribe decoy deal combat damage creature tap creature untap controller next untap step
Blue,flying return land control owner hand create blue illusion creature token flying
Black,enchant creature enchanted creature ha blackmana creature get plusandplus end turn
Blue,tap add bluemana bluemana tap untap target legendary permanent
Red,choose nonland card name number greater target player reveals library library contains exactly chosen number card chosen name mindblaze deal damage player player shuffle library
Green,trample
White,flying bushido whenever creature block becomes blocked get plusandplus end turn
White,myojin cleansing fire enters battlefield divinity counter cast hand myojin cleansing fire ha indestructible long ha divinity counter remove divinity counter myojin cleansing fire destroy creature
Red,myojin infinite rage enters battlefield divinity counter cast hand myojin infinite rage ha indestructible long ha divinity counter remove divinity counter myojin infinite rage destroy land
Green,myojin life web enters battlefield divinity counter cast hand myojin life web ha indestructible long ha divinity counter remove divinity counter myojin life web put number creature card hand onto battlefield
Black,myojin night reach enters battlefield divinity counter cast hand myojin night reach ha indestructible long ha divinity counter remove divinity counter myojin night reach opponent discard hand
Blue,myojin seeing wind enters battlefield divinity counter cast hand myojin seeing wind ha indestructible long ha divinity counter remove divinity counter myojin seeing wind draw card permanent control
Blue,flash enchant creature mystic restraint enters battlefield tap enchanted creature enchanted creature untap controller untap step
White,bushido whenever creature block becomes blocked get plusandplus end turn whenever nagao bound honor attack samurai creature control get plusandplus end turn
Green,whenever one creature control deal combat damage player tap land player control untap land control
Black,blackmana sacrifice creature target player discard card activate ability time could cast sorcery
Black,blackmana put target creature card graveyard onto battlefield control
Black,blackmana exile target card opponent graveyard card graveyard flip nezumi graverobber
Black,bushido whenever creature block becomes blocked get plusandplus end turn
Black,beginning opponent upkeep player loses life card fewer three hand
Black,blackmana tap target opponent discard card player ha card hand flip nezumi shortfang
Black,whenever source control deal damage another player put many theft counter night dealing blackmanablackmana remove x theft counter night dealing search library nonland card converted mana cost x reveal put hand shuffle library
Black,creature get minusandminus
Black,bushido whenever creature block becomes blocked get plusandplus end turn blackmana pay life regenerate numai outcast
Green,tap add greenmana greenmana tap target legendary creature get plusandplus end turn
Black,enchant creature beginning upkeep sacrifice creature enchanted creature get plusandplus ha trample enchanted creature demon spirit
Green,reach creature block creature flying whenever cast spirit arcane spell orbweaver kumo gain forestwalk end turn blocked long defending player control forest
Red,whenever cast spirit arcane spell may destroy target nonbasic land
Green,greenmana sacrifice creature target creature get plusandplus end turn
Green,greenmana tap create green snake creature token control ten creature flip orochi eggwatcher
Green,greenmana add one mana color
Green,whenever orochi ranger deal combat damage creature tap creature untap controller next untap step
Green,tap add greenmana
White,exile target creature beginning next end step return card battlefield owner control plusandplus counter
Red,x redmana sacrifice pain kami deal x damage target creature
Black,fear creature blocked except artifact creature andandor black creature beginning upkeep sacrifice creature control ogre
Blue,return creature control owner hand
Blue,look top five card library may reveal instant sorcery card among put hand put rest bottom library order
Blue,look top three card library may put card bottom library order return petal insight owner hand otherwise draw three card
White,beginning upkeep put devotion counter pious kitsune creature named eightminusandminusaminushalfminustails battlefield gain life devotion counter pious kitsune tap remove devotion counter pious kitsune gain life
Blue,may tap untap target permanent splice onto arcane bluemana cast arcane spell may reveal card hand pay splice cost add card effect spell
Black,target creature get minusandminus end turn
White,destroy target enchantment
Black,blackmana tap exile three target card single graveyard
Black,flash enchant creature whenever enchanted creature dealt damage controller loses much life
Blue,draw card
White,exile target creature dealt damage turn
Black,destroy target nonminusspirit creature
Black,destroy target spirit
Blue,target permanent controller sacrifice player doe reveal card top library reveal permanent card share card type sacrificed permanent put card onto battlefield shuffle library splice onto arcane bluemanabluemana cast arcane spell may reveal card hand pay splice cost add card effect spell
Red,haste bushido whenever creature block becomes blocked get plusandplus end turn
Green,greenmanagreenmana sacrifice rootrunner put target land top owner library soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Green,snake creature control get plusandplus shaman control tap add greenmanagreenmana
White,bushido whenever creature block becomes blocked get plusandplus end turn
White,bushido whenever creature block becomes blocked get plusandplus end turn permanent would put graveyard exile instead
Black,sacrifice scuttling death target creature get minusandminus end turn soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Black,beginning player upkeep player loses life draw two card
White,bushido whenever creature block becomes blocked get plusandplus end turn whitemana tap put training counter target creature creature gain bushido becomes samurai addition creature type activate ability time could cast sorcery
Green,flash enchant creature enchanted creature get plusandplus greenmana regenerate enchanted creature
Green,snake creature control get plusandplus whenever snake control deal combat damage player may draw card
Red,shimatsu bloodcloaked enters battlefield sacrifice number permanent shimatsu enters battlefield many plusandplus counter
Red,tap add redmana redmana tap target legendary creature gain first strike end turn
Green,beginning upkeep sacrifice snake whenever shisato whispering hunter deal combat damage player player skip next untap step
Black,tap add blackmana blackmana tap target legendary creature gain fear end turn blocked except artifact creature andandor black creature
Red,may change target target arcane spell
Blue,draw two card discard card cast spell named peer depth spell named reach mist turn may search library card named unspeakable put onto battlefield shuffle library
White,silentminuschant zubera dy gain life zubera died turn
Blue,flying whenever cast spirit arcane spell may draw card
Green,whenever cast spirit arcane spell target land becomes creature end turn still land
Red,mountainwalk creature blocked long defending player control mountain
Blue,flying return land control owner hand draw card discard card
Blue,flying return land control owner hand target creature power le blocked turn
Blue,flying return three land control owner hand return target creature owner hand
Blue,flying return land control owner hand target creature control gain shroud end turn target spell ability
Blue,flying return land control owner hand counter target spell unless controller pay
Blue,flying return two land control owner hand discard card hand draw many card
Green,snake creature control get plusandplus whenever warrior control deal combat damage creature destroy creature end combat
Red,whenever cast spirit arcane spell soul magma deal damage target creature
Black,return target creature card graveyard hand splice onto arcane blackmana cast arcane spell may reveal card hand pay splice cost add card effect spell
Blue,counter target activated ability mana ability targeted draw card
Red,switch target creature power toughness end turn splice onto arcane redmana cast arcane spell may reveal card hand pay splice cost add card effect spell
Green,target creature get plusxandplusx end turn x number land control
Black,target opponent reveals hand player exile card exile card repeat process card hand exiled player return card exiled way hand put rest graveyard
Blue,creature control flying
Blue,student element ha flying flip
Black,swallowing plague deal x damage target creature gain x life
Blue,swirl mist enters battlefield choose color word instance color word text spell permanent changed chosen color word
White,bushido whenever creature block becomes blocked get plusandplus end turn samurai creature control get plusandplus point bushido ha
Blue,flying whenever cast spirit arcane spell may tap untap target creature
White,tap three target creature
Blue,flying trample whenever unspeakable deal combat damage player may return target arcane card graveyard hand
Black,whenever cast spirit arcane spell target opponent loses life gain life soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Blue,counter target spell converted mana cost le
Green,soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Red,may put creature card hand onto battlefield creature gain haste sacrifice creature beginning next end step splice onto arcane redmanaredmana cast arcane spell may reveal card hand pay splice cost add card effect spell
Red,whenever one creature block flip coin win flip blocking creature sacrificed controller lose flip blocked creature sacrificed controller
Green,search library legendary creature card reveal put hand shuffle library
Red,three target creature block turn
Red,target creature gain haste end turn
White,next damage would dealt target legendary creature control turn dealt instead
Green,reach creature block creature flying soulshift creature dy may return target spirit card converted mana cost le graveyard hand
White,enchant creature enchanted creature ha vigilance attacking cause tap
Black,villainous ogre block long control demon villainous ogre ha blackmana regenerate villainous ogre
Green,menace creature blocked except two creature soulshift creature dy may return target spirit card converted mana cost le graveyard hand
Black,target player discard two card
Green,destroy target artifact enchantment splice onto arcane greenmana cast arcane spell may reveal card hand pay splice cost add card effect spell
Black,blackmana target player dealt damage wicked akuba turn loses life
Red,yamabushi flame deal damage target creature dealt damage way would die turn exile instead
Red,yamabushi storm deal damage creature creature dealt damage way would die turn exile instead
White,flying yosei morning star dy target player skip next untap step tap five target permanent player control
Red,whenever land enters battlefield zominuszu punisher deal damage land controller
Red,choose one destroy target blue permanent return target island owner hand
White,creature control get plusandplus long control nonartifact nonwhite creature
Black,x tap banshee deal half x damage rounded target half x damage rounded
Red,protection red beast bogardan get plusandplus long opponent control nontoken white permanent
White,end turn damage would dealt creature may damage dealt instead
Green,enchant creature control cocoon enters battlefield tap enchanted creature put three pupa counter cocoon enchanted creature untap untap step cocoon ha pupa counter beginning upkeep remove pupa counter cocoon sacrifice put plusandplus counter enchanted creature creature gain flying
Green,creature haste
Green,flying greenmanagreenmana emerald dragonfly gain first strike end turn
Blue,attach target aura attached creature land another permanent type
Blue,choose one destroy target red permanent return target mountain owner hand
Black,beginning next upkeep choose basic land type giant slug gain landwalk chosen type end turn blocked long defending player control land type
Red,enchant land long enchanted land basic mountain goblin creature get plusandplus goblin shrine leaf battlefield deal damage goblin creature
Red,mountainwalk creature blocked long defending player control mountain control dwarf sacrifice goblin flarg
White,prevent damage would dealt target creature turn
Red,discard card discarded card wa land card land edge deal damage target player planeswalker player may activate ability
Red,mountainwalk creature blocked long defending player control mountain protection white
White,tap target player chooses card name reveals top card library card ha chosen name player put hand player put graveyard
Blue,enchant creature enchanted creature dy return card owner hand card returned owner hand way may pay bluemanabluemanabluemana return puppet master owner hand
Green,player play hand revealed
Black,blackmana tap damage would dealt turn target attacking creature dealt shimian night stalker instead
Green,storm seeker deal damage target player equal number card player hand
Black,enchant creature beginning upkeep enchanted creature controller put minusandminus counter creature enchanted creature dy creature controller chooses creature takklemaggot could enchant player doe return takklemaggot battlefield control attached creature return takklemaggot battlefield control nonminusaura enchantment loses enchant creature gain beginning player upkeep takklemaggot deal damage player
Blue,cast spell declare attacker step target creature blocked turn
Black,beginning upkeep fallen deal damage opponent planeswalker ha dealt damage game
Black,switch target creature power toughness end turn
Red,defender creature attack wall opposition get plusandplus end turn
Black,defender creature attack prevent damage would dealt wall shadow creature blocking wall shadow target spell target wall ability target wall
Blue,defender creature attack prevent damage would dealt wall vapor creature blocking
White,tap witch hunter deal damage target player planeswalker whitemanawhitemana tap return target creature opponent control owner hand
Red,tap destroy target creature choice destroy target creature opponent choice activate ability turn attacker declared
White,sacrifice loyal retainer return target legendary creature card graveyard battlefield activate ability turn attacker declared
Blue,whenever opponent cast spell may draw card unless player pay
Green,trample long brawn graveyard control forest creature control trample
Black,search library three creature card put graveyard shuffle library
Black,flying dark hatchling enters battlefield destroy target nonblack creature regenerated
Blue,whenever creature attack planeswalker control creature controller put top two card library graveyard
Black,flying whenever scythe specter deal combat damage player opponent discard card player discarded card highest converted mana cost among card discarded way loses life equal converted mana cost
Black,sewer nemesis enters battlefield choose player sewer nemesis power toughness equal number card chosen player graveyard whenever chosen player cast spell player put top card library graveyard
Black,join force starting player may pay amount mana player put top x card library graveyard x total amount mana paid way
Blue,slipstream eel attack unless defending player control island cycling bluemana bluemana discard card draw card
Blue,counter target spell spell countered way put bottom owner library instead player graveyard put spell crumple bottom owner library
Black,player sacrifice creature create black zombie creature token creature sacrificed way
White,flying opponent cast spell turn attack creature opponent attacked creature turn cast spell
Red,haste long anger graveyard control mountain creature control haste
White,flying archangel strife enters battlefield player chooses war peace creature controlled player chose war get plusandplus creature controlled player chose peace get plusandplus
Red,creature double strike attack combat able
White,radiance choose color target creature creature share color gain protection chosen color end turn
